Transaction_ID,User_ID,Transaction_Amount,Transaction_Type,Date,Account_Balance,Device_Type,Location,Merchant_Category,Previous_Fraudulent_Activity,Daily_Transaction_Count,Card_Type,Card_Age,Fraud_Label,Txn_to_Balance_Pct,Amount_Zscore_User
1000001,10893,24.12,Bank Transfer,2025-01-01 00:00:00.000000000,94120.15,Tablet,New York,Restaurants,0,12,Discover,121,0,0.0256,-0.821
1000002,17740,33.68,ATM Withdrawal,2025-01-01 00:10:29.004580091,5215.77,Mobile,Tokyo,Clothing,0,6,Mastercard,85,0,0.6457,-0.5307
1000003,16546,83.69,POS,2025-01-01 00:20:58.009160183,2997.69,Mobile,New York,Clothing,0,7,Visa,197,0,2.7918,-0.3879
1000004,14389,53.57,Bank Transfer,2025-01-01 00:31:27.013740274,43808.02,Mobile,Mumbai,Restaurants,0,10,Discover,230,0,0.1223,-0.1353
1000005,14331,37.27,POS,2025-01-01 00:41:56.018320366,96554.31,Laptop,London,Travel,0,7,Visa,19,0,0.0386,-0.7892
1000006,18586,26.51,POS,2025-01-01 00:52:25.022900458,51407.79,Tablet,Tokyo,Groceries,0,11,Mastercard,56,0,0.0516,-0.4407
1000007,10860,24.27,Bank Transfer,2025-01-01 01:02:54.027480549,72359.32,Tablet,New York,Restaurants,0,6,Visa,55,0,0.0335,-0.724
1000008,16974,49.14,POS,2025-01-01 01:13:23.032060641,37176.41,Mobile,New York,Electronics,0,8,Discover,107,0,0.1322,-0.3153
1000009,12015,276.07,Bank Transfer,2025-01-01 01:23:52.036640732,63146.39,Tablet,Mumbai,Restaurants,0,5,Visa,232,0,0.4372,2.1239
1000010,10942,85.85,ATM Withdrawal,2025-01-01 01:34:21.041220824,1021.67,Tablet,London,Clothing,1,7,Discover,231,0,8.4029,0.9011
1000011,15265,18.8,Bank Transfer,2025-01-01 01:44:50.045800916,28620.85,Mobile,Sydney,Clothing,0,5,Mastercard,178,0,0.0657,-0.8484
1000012,19757,96.14,ATM Withdrawal,2025-01-01 01:55:19.050381007,6639.77,Laptop,Mumbai,Travel,0,8,Discover,94,0,1.4479,1.9626
1000013,17358,29.75,Bank Transfer,2025-01-01 02:05:48.054961099,12509.63,Mobile,Mumbai,Electronics,0,9,Visa,113,0,0.2378,-0.4891
1000014,17612,54.39,Bank Transfer,2025-01-01 02:16:17.059541190,27165.96,Mobile,Mumbai,Groceries,0,9,Discover,181,0,0.2002,-0.6866
1000015,17175,34.09,ATM Withdrawal,2025-01-01 02:26:46.064121282,10550.48,Mobile,Sydney,Electronics,0,4,Discover,45,0,0.3231,-0.4402
1000016,17861,275.39,Online,2025-01-01 02:37:15.068701374,30730.78,Tablet,Mumbai,Restaurants,0,4,Discover,60,0,0.8961,1.7709
1000017,15133,22.04,Bank Transfer,2025-01-01 02:47:44.073281465,56741.69,Mobile,Mumbai,Travel,0,6,Mastercard,129,0,0.0388,-0.3494
1000018,11282,70.17,Online,2025-01-01 02:58:13.077861557,62022.09,Mobile,Mumbai,Restaurants,0,9,Discover,34,0,0.1131,-0.1921
1000019,18398,31.56,POS,2025-01-01 03:08:42.082441648,11570.74,Mobile,Mumbai,Groceries,0,9,Mastercard,222,1,0.2728,-0.5015
1000020,14504,98.6,Bank Transfer,2025-01-01 03:19:11.087021740,18786.01,Mobile,Mumbai,Restaurants,0,9,Mastercard,64,1,0.5249,-0.4936
1000021,15004,69.05,Online,2025-01-01 03:29:40.091601832,57073.3,Laptop,New York,Groceries,0,12,Mastercard,90,0,0.121,-0.465
1000022,13708,148.95,POS,2025-01-01 03:40:09.096181923,89738.27,Laptop,Mumbai,Electronics,0,3,Visa,20,0,0.166,0.1886
1000023,11826,96.98,ATM Withdrawal,2025-01-01 03:50:38.100762015,86013.08,Mobile,New York,Groceries,0,13,Visa,81,0,0.1128,1.4584
1000024,19268,31.35,Bank Transfer,2025-01-01 04:01:07.105342106,79378.93,Mobile,Mumbai,Groceries,0,10,Visa,4,0,0.0395,-0.6488
1000025,17816,562.82,Bank Transfer,2025-01-01 04:11:36.109922198,70364.62,Mobile,London,Restaurants,1,10,Mastercard,90,0,0.7999,1.778
1000026,16439,85.14,Online,2025-01-01 04:22:05.114502290,24902.49,Laptop,New York,Groceries,0,7,Visa,72,1,0.3419,0.5582
1000027,14025,35.14,ATM Withdrawal,2025-01-01 04:32:34.119082381,88956.59,Mobile,Tokyo,Travel,0,7,Mastercard,142,0,0.0395,-0.4818
1000028,18228,64.36,Online,2025-01-01 04:43:03.123662473,90040.14,Mobile,Mumbai,Clothing,0,12,Amex,44,0,0.0715,0.7202
1000029,15455,90.44,Online,2025-01-01 04:53:32.128242564,56670.83,Tablet,Mumbai,Groceries,0,11,Mastercard,102,0,0.1596,1.446
1000030,14435,87.73,POS,2025-01-01 05:04:01.132822656,32129.2,Tablet,New York,Clothing,0,9,Amex,92,0,0.2731,-0.7071
1000031,14505,81.19,Online,2025-01-01 05:14:30.137402748,66160.48,Mobile,Mumbai,Electronics,0,10,Discover,113,0,0.1227,0.0489
1000032,12273,118.3,Bank Transfer,2025-01-01 05:24:59.141982839,65790.41,Laptop,New York,Clothing,0,9,Discover,91,0,0.1798,-0.0633
1000033,10922,109.35,Online,2025-01-01 05:35:28.146562931,93000.81,Tablet,Mumbai,Clothing,0,13,Amex,45,0,0.1176,0.0011
1000034,15546,27.71,ATM Withdrawal,2025-01-01 05:45:57.151143022,67562.65,Mobile,Mumbai,Restaurants,0,7,Discover,69,0,0.041,-1.2492
1000035,18879,294.84,Online,2025-01-01 05:56:26.155723114,26136.93,Mobile,Sydney,Electronics,1,9,Mastercard,17,1,1.1281,1.7546
1000036,10639,263.78,POS,2025-01-01 06:06:55.160303206,76796.42,Laptop,Mumbai,Restaurants,0,6,Mastercard,178,0,0.3435,1.4901
1000037,18583,103.62,ATM Withdrawal,2025-01-01 06:17:24.164883297,58757.19,Tablet,Tokyo,Restaurants,0,2,Visa,8,0,0.1764,-0.6649
1000038,18277,56.31,Online,2025-01-01 06:27:53.169463389,85503.49,Tablet,Mumbai,Travel,0,9,Visa,58,0,0.0659,-0.6339
1000039,12768,57.09,Online,2025-01-01 06:38:22.174043480,33103.55,Mobile,Mumbai,Groceries,0,6,Mastercard,180,0,0.1725,0.134
1000040,16317,42.14,POS,2025-01-01 06:48:51.178623572,20124.05,Tablet,Tokyo,Electronics,0,5,Mastercard,136,0,0.2094,-0.622
1000041,11653,46.73,Online,2025-01-01 06:59:20.183203664,1508.9,Mobile,London,Travel,0,7,Mastercard,137,0,3.097,-0.4697
1000042,17581,9.49,Bank Transfer,2025-01-01 07:09:49.187783755,64043.95,Laptop,Mumbai,Electronics,0,12,Amex,76,0,0.0148,-1.1362
1000043,17006,185.71,Online,2025-01-01 07:20:18.192363847,91006.52,Mobile,Mumbai,Electronics,0,6,Amex,48,0,0.2041,0.1133
1000044,13546,140.04,ATM Withdrawal,2025-01-01 07:30:47.196943938,5019.73,Laptop,New York,Clothing,1,12,Mastercard,113,1,2.7898,1.0516
